"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5770","zeroQuantityShowsNothingTC","Default Suite","2025-11-25","failed","2025-11-25","ShoppingCartTest","FullProject","ShoppingCartTest","zeroQuantityShowsNothingTC"
"","7773","verifyLoginWithInvalidPasswordTC","Default Suite","2025-11-23","passed","2025-11-23","LoginTest","FullProject","LoginTest","verifyLoginWithInvalidPasswordTC"
"","6","setUp","Default Suite","2025-11-25","broken","2025-11-25","WishlistTest","FullProject","WishlistTest","setUp"
"","13278","CompleteCheckoutWithValidDataAndWithoutLoginTC","Default Suite","2025-11-26","failed","2025-11-26","CheckOutTest","FullProject","CheckOutTest","CompleteCheckoutWithValidDataAndWithoutLoginTC"
"","39058","CompleteCheckoutWithValidDataTC","Default Suite","2025-11-26","passed","2025-11-26","CheckOutTest","FullProject","CheckOutTest","CompleteCheckoutWithValidDataTC"
"","7341","addProductToWishListWithOptionsTC","Default Suite","2025-11-25","failed","2025-11-25","ProductDetailsTest","FullProject","ProductDetailsTest","addProductToWishListWithOptionsTC"
"","4578","validLoginWithRememberMeTC","Default Suite","2025-11-19","passed","2025-11-19","LoginTest","FullProject","LoginTest","validLoginWithRememberMeTC"
"","6989","addProductToCartWithOptionsAndChangingQuantityTC","Default Suite","2025-11-25","failed","2025-11-25","ProductDetailsTest","FullProject","ProductDetailsTest","addProductToCartWithOptionsAndChangingQuantityTC"
"","1755","verifyEmptySearchValidationTestCase","Default Suite","2025-11-23","broken","2025-11-23","HomeTest","FullProject","HomeTest","verifyEmptySearchValidationTestCase"
"","12590","addToCartTC","Default Suite","2025-11-20","failed","2025-11-20","Output_data.ProductTest","FullProject","Output_data.ProductTest","addToCartTC"
"","12271","sampleTestTC","Default Suite","2025-11-19","passed","2025-11-19","HomeTest","FullProject","HomeTest","sampleTestTC"
"","3","setUp","Default Suite","2025-11-17","broken","2025-11-17","LoginLogutTest","FullProject","LoginLogutTest","setUp"
"","4020","ValidRegistrationTest","Default Suite","2025-11-23","passed","2025-11-23","RegisterTest","FullProject","RegisterTest","ValidRegistrationTest"
"","2990","navigateToPDetailsPageTC","Default Suite","2025-11-20","passed","2025-11-20","Output_data.ProductTest","FullProject","Output_data.ProductTest","navigateToPDetailsPageTC"
"","20","setUp","Default Suite","2025-11-25","broken","2025-11-25","ShoppingCartTest","FullProject","ShoppingCartTest","setUp"
"","2548","verifyInvalidSearchGetsNoResultsTestCase","Default Suite","2025-11-23","failed","2025-11-23","HomeTest","FullProject","HomeTest","verifyInvalidSearchGetsNoResultsTestCase"
"","10822","verifyLoginWithEmptyEmailTC","Default Suite","2025-11-23","passed","2025-11-23","LoginTest","FullProject","LoginTest","verifyLoginWithEmptyEmailTC"
"","13","preCondition","Default Suite","2025-11-14","broken","2025-11-14","RegisterTest","FullProject","RegisterTest","preCondition"
"","28","testLogin","Default Suite","2025-10-31","broken","2025-10-31","HomeTest","FullProject","HomeTest","testLogin"
